Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
THSAN;Thalasseus sandvicensis;Sterne caugek;Charadriiformes;Sternides;ESPECE OISEAU;STESAN;Tern;Gull;#7ae582
MEDTER;Sterna hirundo/paradisaea;Sterne moyenne ind.;Charadriiformes;Sternides;GENRE OISEAU;MEDTER;Tern;Gull;#7ae582
FUGLA;Fulmarus glacialis;Fulmar boreal;Procellariiformes;Procellariides;ESPECE OISEAU;FULGLA;Tubenose;Fulmar;#f5cac3
HYPEL;Hydrobates pelagicus;Oceanite tempete;Procellariiformes;Hydrobatides;ESPECE OISEAU;HYDPEL;Tubenose;Storm petrel;#f5cac3
HYDSPP;Hydrobatidae spp;Oceanite sp;Procellariiformes;Hydrobatides;GENRE OISEAU;OCESPP;Tubenose;Storm petrel;#f5cac3
PETSPP;Petrel sp;Petrel sp;Procellariiformes;Procellariides;GENRE OISEAU;PETSPP;Tubenose;Tubenose;#f5cac3
PUPUF;Puffinus puffinus;Puffin des Anglais;Procellariiformes;Procellariides;ESPECE OISEAU;PUFPUF;Tubenose;Shearwater;#f5cac3
PUMAU;Puffinus mauretanicus;Puffin des Baleares;Procellariiformes;Procellariides;ESPECE OISEAU;PUFMAU;Tubenose;Shearwater;#f5cac3
LARSHE;Calonectris / puffinus gravis / P. griseus;Grand puffin ind.;Procellariiformes;Procellariides;ESPECE OISEAU;LARSHE;Tubenose;Shearwater;#f5cac3
SMASHE;Puffinus yelkouan / puffinus / mauretanicus;Petit puffin ind.;Procellariiformes;Procellariides;ESPECE OISEAU;SMASHE;Tubenose;Shearwater;#f5cac3
PUFSPP;Puffinus spp;Puffin sp;Procellariiformes;Procellariides;ESPECE OISEAU;PUFSPP;Tubenose;Shearwater;#f5cac3
ARGRA;Ardenna gravis;Puffin majeur;Procellariiformes;Procellariides;ESPECE OISEAU;ARDGRA;Tubenose;Shearwater;#f5cac3
CABOR;Calonectris borealis;Puffin cendre;Procellariiformes;Procellariides;ESPECE OISEAU;CALBOR;Tubenose;Shearwater;#f5cac3
ARGRI;Ardenna grisea;Puffin fuligineux;Procellariiformes;Procellariides;ESPECE OISEAU;ARDGRI;Tubenose;Shearwater;#f5cac3
